Docket No,ATM ID,Model,Alias ATM ID,ATM Type,Call Date with Time,Sub Call Type,Completion Date,ATM Down,Diagnosis,Action Taken,Issue Categories
271022/18,AMKATM75,DN 100D,STRSTR-A001,ATM,10/27/2022 15:11,Card Jammed,10/27/2022 15:45,No,Card reader frequently jam card,"User : Chhom Vannak Date  : Oct 27 2022  5:38PM
Action : -Check devices ok but do transaction failure
-Power off ATM , Removed out card reader and Cleaned shutter all roller board and belt
-put back card reader to ATM 
-power on ATM, Checked and test devices ok
-Bank do transaction many card and many time successful
-Now ATM working normal.
;

User : Chhom Vannak Date  : Oct 27 2022  5:31PM
Action : -Check devices ok but do transaction failure
-Power off ATM , Removed out card reader and Cleaned shutter all roller board and belt
-put back card reader to ATM 
-power on ATM, Checked and test devices ok
-Bank do transaction many card and many time successful
-Now ATM working normal.
;

User : Seth Date  : Oct 27 2022  5:15PM
Action : -Check devices ok but do transaction failure
-Power off ATM , Removed out card reader and Cleaned shutter all roller board and belt
-put back card reader to ATM 
-power on ATM, Checked and test devices ok
-Bank do transaction many card and many time successful
-Now ATM working normal.;

User : Seth Date  : Oct 27 2022  3:14PM
Action : Card reader frequently jam card;

",Card reader
041122/4,AMKDC01,DC365,PPT Chbar Obpov,DC365,11/4/2022 13:16,Connection Error,11/4/2022 15:00,No,connection error,"User : Seth Date  : Nov 11 2022  2:30PM
Action : AMK checking their network;

",Other
051122/5,AMKATM26,DN 100D,ASNTAN2-A001,ATM,11/5/2022 8:17,Cash Jam,11/5/2022 11:28,No,Cash jam,"User : Parinha Date  : Nov  5 2022 11:31AM
Action : - print counter and checked devices ok - power off atm - replace new picker slot 4 (50k) and feed wheel 1unit - power on atm, checked and tested devices ok -customer tested transaction successful -now atm working normal Picker old SN: IP69205196 Picker new SN: IP69202507
;

User : Chean Sovanarath Date  : Nov  5 2022 11:23AM
Action : - print counter and checked devices ok
- power off atm
- replace new picker slot 4 (50k) and feed wheel 1unit
- power on atm, checked and tested devices ok
-customer tested transaction successful
-now atm working normal
Picker old SN: IP69205196
Picker new SN: IP69202507;

User : Parinha Date  : Nov  5 2022  8:27AM
Action : Cash jam;

",Dispenser
111122/9,AMKATM29,DN 200V,PNPPDK-C001,CRM,11/11/2022 8:56,Camera Error,11/11/2022 10:00,No,Error Camera cashslot,"User : Seth Date  : Nov 11 2022 10:22AM
Action : -Checked and all devices CRM error cash slot camera(camera show black screen) -Checked camera and test still error -Power off CRM and removed out old camera -Change new camera cashslot Old SN:WDBUC051575 New SN:WDBTL180064 -Power On CRM, checked and tested all devices ok -Bank checked confirm ok -Now CRM working normal.;

User : Chean Sovanarath Date  : Nov 11 2022 10:20AM
Action : -Checked and all devices CRM error cash slot camera(camera show black screen)
-Checked camera and test still error 
-Power off CRM and removed out old camera
-Change new camera cashslot 
Old SN:WDBUC051575
New SN:WDBTL180064
-Power On CRM, checked and tested all devices ok
-Bank checked confirm ok 
-Now CRM working normal.;

User : Seth Date  : Nov 11 2022  8:58AM
Action : error camera cash slot;

",Camera
141122/10,AMKDC03,DC365,PTT Prek Phnov,DC365,11/14/2022 15:18,Cash Jam,11/14/2022 17:50,Yes,Depositor envelop 300pcs,"User : Seth Date  : Nov 15 2022  8:31AM
Action : _scan admin for open deposit slot
_take the envelop out then depositor do transaction again
-now machine work as normal.;

User : Seth Date  : Nov 15 2022  8:31AM
Action : _scan admin for open deposit slot
_take the envelop out then depositor do transaction again
-now machine work as normal.;

",Dispenser
161122/11,AMKATM41,DN 100D,KOKKOK-A001,ATM,11/16/2022 14:48,Cash Rejected and Torn,11/16/2022 16:31,No,ATM got torn notes,"User : Seth Date  : Nov 16 2022  6:53PM
Action : -Checked and tested devices are ok. 
-Shutdown machine ATM .
-Changed Feed wheel , triple wheel and take away on slot 1 and slot 2.done -Adjust backward picker on slot one and two abit. completed . 
-Power on ATM ,checked and tested devices are ok. 
-Bank load cash and perform tested transaction many time no torn note more. 
-Now ATM working as normal;

User : Chean Sovanarath Date  : Nov 16 2022  6:28PM
Action : -Checked and tested devices are ok.
-Shutdown machine ATM .
-Changed Feed wheel , triple wheel and take away on slot 1 and slot 2.done -Adjust backward picker on slot one and two abit .completed .
-Power on ATM ,checked and tested devices are ok.
-Bank loadcash and perform tested transaction many time no torn note more. -Now ATM working as normal;

User : Seth Date  : Nov 16 2022  2:50PM
Action : ATM got torn notes;

",Dispenser
281122/23,AMKATM64,DN 200V,PNPTKK-C001,CRM,11/28/2022 9:40,Application Error,11/28/2022 15:25,Yes,machine can not start application,"User : Seth Date  : Nov 28 2022  3:53PM
Action : _Checked CRM seen can not start application.
_Shutdown CRM , try to unpluing USB HDD and test but still not working.
_Changed new HDD (S/N:20515U800517)
Old HDD (S/N :2L07292NJQHY) done .
_Prepare restore image completed.
_ Put back IP configuration and computer name to CRM completed.
_Configuration on CRM at TSOP done.
_Now CRM is working as normal.;

User : Seth Date  : Nov 28 2022  3:53PM
Action : _Checked CRM seen can not start application.
_Shutdown CRM , try to unpluing USB HDD and test but still not working.
_Changed new HDD (S/N:20515U800517)
Old HDD (S/N :2L07292NJQHY) done .
_Prepare restore image completed.
_ Put back IP configuration and computer name to CRM completed.
_Configuration on CRM at TSOP done.
_Now CRM is working as normal.;

User : Seth Date  : Nov 28 2022  9:42AM
Action : machine can not start application;

",Software
291122/28,AMKATM32,DN 100D,KSPKSP-A001,ATM,11/29/2022 8:37,Cash Rejected and Torn,11/29/2022 10:15,No,Reject a lot of note 50k,"User : Seth Date  : Nov 29 2022 10:56AM
Action : -Print counter, checked all devices ok -Power off ATM, check picker slot 4 50K (Feed wheel , Stripper wheel is spoil) -Change new feed wheel, Stripper wheel Picker slot 4 -Power on ATM, checked and test devices ok -Bank load cash and do transaction successful -Now ATM working as normal.;

User : Chhom Vannak Date  : Nov 29 2022 10:43AM
Action : -Print counter, checked all devices ok
-Power off ATM, check picker slot 4 50K (Feed wheel , Stripper wheel is spoil)
-Change new feed wheel, Stripper wheel Picker slot 4 
-Power on ATM, checked and test devices ok 
-Bank load cash and do transaction successful
-Now ATM working as normal.;

User : Seth Date  : Nov 29 2022  8:38AM
Action : Reject a lot of note 50K;

",Dispenser
301122/30,AMKATM20,DN 100D,KHHKHH-A001,ATM,11/30/2022 10:43,Cash Rejected and Torn,11/30/2022 17:10,No,ATM got torn notes,"User : Seth Date  : Dec  1 2022  8:14AM
Action : -Check and test all device ATM status are ok. But dispenser cassette slot 3 Error torn notes. -Shutdown ATM and removed out dispenser, Check hardware dispenser and picker then By adjust backside picker tray on slot 100$. -Clean all device and all sensors. 
-Power on ATM and tested all device ATM status are ok. 
-Bank loaded cash and tested many transaction successfully. 
-Now ATM working as normal.;

User : Chean Sovanarath Date  : Dec  1 2022  8:07AM
Action : -Check and test all device ATM status are ok. But dispenser cassette slot 3 Error torn notes.
-Shutdown ATM and removed out dispenser, Check hardware dispenser and picker then By adjust backside 
picker tray on slot 100$.
-Clean all device and all sensors.
-Power on ATM and tested all device ATM status are ok.
-Bank loaded cash and tested many transaction successfully.
-Now ATM working as normal.;

User : Seth Date  : Nov 30 2022 10:47AM
Action : ATM got torn notes;

",Dispenser
061222/5,AMKATM20,DN 100D,KHHKHH-A001,ATM,12/6/2022 8:24,Unable to open safe door,12/6/2022 14:00,No,Combination lock unable to change password,"User : Seth Date  : Dec  6 2022  3:40PM
Action :  ;

User : Khen Raksmey Date  : Dec  6 2022  3:37PM
Action : _Try to unlock combination many time but still unable to change password.
_Changed only combination luck opener completed.
_Try and tested with reset password many times completed.
_Branch try to test set many times as well.
_ Bank loadcash and tested perform transaction completed.
_Now ATM is working as normal.;

User : Seth Date  : Dec  6 2022  8:28AM
Action : Combination lock unable to change password;

",Door Issue
061222/7,AMKATM01,DN 100D,ASNVSR-A001,ATM,12/6/2022 9:08,Camera Error,12/6/2022 15:30,No,Camera error,"User : Seth Date  : Dec  6 2022  4:31PM
Action :  ;

User : SOY Date  : Dec  6 2022  4:30PM
Action : testing complete;

User : SOY Date  : Dec  6 2022  9:12AM
Action : testing;

User : Deam1 Date  : Dec  6 2022  9:10AM
Action : Testing;

User : Seth Date  : Dec  6 2022  9:09AM
Action : Testing contact and phone number ;

",Camera
121222/18,AMKATM08,DN 100D,PNPPNP-A002,ATM,12/12/2022 9:08,Cash Rejected and Torn,12/12/2022 10:45,No,ATM got Torn notes,"User : Seth Date  : Dec 12 2022 11:50AM
Action : _Checked and tested device are ok.
_Shutdow machine ATM.
_Changeed feel weel and take away on slot 2
_Power on ATM
_Checked and tested device is ok.
_Bank perform test transaction many time no tron note more.
_Now ATM working as normal.;

User : Khen Raksmey Date  : Dec 12 2022  9:20AM
Action : Assigned engineer;

User : Seth Date  : Dec 12 2022  9:15AM
Action : ATM got torn note;

",Dispenser
281222/19,AMKATM74,DN 100D,SRPSRP-A001,ATM,12/28/2022 10:17,Camera Issue,12/28/2022 17:00,No,Camera cash slot capture not see the cash,"User : Botin Date  : Dec 28 2022  6:24PM
Action : Check and test camera status camera cash slot capture not see the cash.
_Shutdown ATM and removed out camera cash slot. adjust the camera bracket holder to frontward direct to cash present.
_Put back camera and power on ATM.
_Tested cash slot camera and tested many transaction camera successfully.
_Now ATM working as normal;

User : Parinha Date  : Dec 28 2022 10:23AM
Action : Camera cash slot capture not see the cash;

",Camera
020123/1,AMKATM43,DN 200V,PNPPNP-C001,CRM,1/2/2023 8:57,Receipt jam,1/2/2023 10:00,No,Receipt printer error,"User : Seth Date  : Jan  2 2023 10:40AM
Action :  ;

User : Than Rothana Date  : Jan  2 2023 10:18AM
Action : -Checked on receipt printer found paper jam 
 -take out paper of receipt printer completed
 -try tested printer receipt printer many time saw receipt working not smooth.
-Power off CRM , replace new receipt printer (S/N 97JCN29281) old receipt printer (S/N 97JCM14417) successfully .
-Power on CRM ,checked and tested printer many time no jam anymore .
-now CRM is working as normal;

User : Seth Date  : Jan  2 2023  9:01AM
Action : Receipt printer error;

",Recipt printer
030123/2,AMKATM02,DN 200V,PNPCAP-C001,CRM,1/3/2023 8:55,Cash Rejected and Torn,1/3/2023 10:25,No,CRM got torn 100$,"User : Seth Date  : Jan  3 2023 10:55AM
Action :  ;

User : Chean Sovanarath Date  : Jan  3 2023 10:52AM
Action : _Chceked and tested devices are ok.
_Shutdown machine CRM and removed out CHT .
_Sendding CHT completed .
_Checked on cassettes 100$ found torn note in cassette .
_ checked and clean all sensor in cassette completed.
_ Bank return cash and test transaction many time not seen torn note anymore.
_Now CRM is working as normal;

User : Chean Sovanarath Date  : Jan  3 2023 10:23AM
Action : assign;

User : Deam1 Date  : Jan  3 2023  9:14AM
Action : assign;

User : Seth Date  : Jan  3 2023  8:59AM
Action : CRM got torn 100$;

",Dispenser
050123/3,AMKATM71,DN 100D,SRPNMK-A001,ATM,1/5/2023 10:41,FIL Error,1/5/2023 15:00,No,Error FIL,"User : Seth Date  : Jan  5 2023  8:15PM
Action : _Checked devices in machine seen temperature hot .
_Shutdown machine and replace new FIL 
S/N 59M0179291 completed.
_Old FIL (S/N 59L0179291)
_ Power on ATM try to tested shutdown and restart machine many time no seen error .
_Bank perform tested transaction completed.
_Now ATM is working as normal.
;

User : Seth Date  : Jan  5 2023  8:15PM
Action : _Checked devices in machine seen temperature hot .
_Shutdown machine and replace new FIL 
S/N 59M0179291 completed.
_Old FIL (S/N 59L0179291)
_ Power on ATM try to tested shutdown and restart machine many time no seen error .
_Bank perform tested transaction completed.
_Now ATM is working as normal.
;

User : Seth Date  : Jan  5 2023 10:44AM
Action : Error FIL;

",FIL
100123/6,AMKATM31,DN 100D,MEMMEM-A001,ATM,1/10/2023 8:34,Cash Rejected and Torn,1/10/2023 12:10,No,ATM got torn note,"User : Seth Date  : Jan 10 2023  2:13PM
Action :  ;

User : Chhom Vannak Date  : Jan 10 2023  2:05PM
Action : - Print counter, Checked all devices ok
- Power off ATM
- Check Picker slot (100$) feed wheel, stripper wheel, take away are ok 
- adjust size cassette 100$ 
- Power On ATM, Check and test all devices Ok
- Bank load cash and do many transaction successfully
- Now ATM working as normal.;

User : Chean Sovanarath Date  : Jan 10 2023  8:54AM
Action : Assign ;

User : Seth Date  : Jan 10 2023  8:37AM
Action : ATM got torn note;

",Dispenser
160123/8,AMKATM33,DN 200V,PNPBNC-C001,CRM,1/16/2023 13:14,Connection Error,1/16/2023 15:30,Yes,Banknote reader is not connected,"User : Parinha Date  : Jan 16 2023  3:38PM
Action : Checked all devices in tsop found error Hardware error Bank note reader - Shutdown CRM and removed BVM board belong AMK out - Replace BVM board belong deam - Power on CRM and checked all devices ok - Now CRM working normal. Note: new board SN: 018129 Old board SN: 021313
;

User : Chhom Vannak Date  : Jan 16 2023  3:30PM
Action : - Checked all devices in tsop found error Hardware error Bank note reader
- Shutdown CRM and removed BVM board belong AMK out
- Replace BVM board belong deam 
- Power on CRM and checked all devices ok
- Now CRM working normal.
Note: new board SN: 018129
Old board SN: 021313
;

User : Chhom Vannak Date  : Jan 16 2023  3:28PM
Action : - Checked all devices in tsop found error Hardware error Bank note reader
- Shutdown CRM and removed BVM board belong AMK out
- Replace BVM board belong deam 
- Power on CRM and checked all devices ok
- Now CRM working normal.
Note: new board SN: 018129
Old board SN: 021313
;

User : Chhom Vannak Date  : Jan 16 2023  3:28PM
Action : - Checked all devices in tsop found error Hardware error Bank note reader
- Shutdown CRM and removed BVM board belong AMK out
- Replace BVM board belong deam 
- Power on CRM and checked all devices ok
- Now CRM working normal.
Note: new board SN: 018129
Old board SN: 021313
;

User : Chhom Vannak Date  : Jan 16 2023  3:28PM
Action : - Checked all devices in tsop found error Hardware error Bank note reader
- Shutdown CRM and removed BVM board belong AMK out
- Replace BVM board belong deam 
- Power on CRM and checked all devices ok
- Now CRM working normal.
Note: new board SN: 018129
Old board SN: 021313
;

User : Parinha Date  : Jan 16 2023  1:32PM
Action : Banknote reader is not connected.;

",Other
160123/9,CCM1280015,DC365,CCM1280015,DC365,1/16/2023 15:56,Error amount,1/30/2023 8:00,No,Error amount between terminal and DCT,"User : Seth Date  : Jan 31 2023  8:45AM
Action : Jack provide the code for solve duplicate transaction;

User : Seth Date  : Jan 17 2023  2:08PM
Action : Error amount between terminal and DCT;

",Other
